probability_bin,predictions,average_prediction,actual_frequency,calibration_gap
0-10%,546,0.07440763691023,0.08974358974358974,0.015335952833359742
10-20%,3185,0.1604669164995556,0.1695447409733124,0.009077824473756796
20-30%,8257,0.24861355901301682,0.25650962819425943,0.00789606918124261
30-40%,3092,0.3470846060798299,0.3350582147477361,-0.012026391332093767
40-50%,2489,0.4485223429142874,0.4584170349537967,0.009894692039509323
50-60%,1811,0.5457956436875078,0.5212589729431254,-0.02453667074438237
60-70%,1102,0.6454496400657614,0.6333938294010889,-0.01205581066467254
70-80%,542,0.7413757275538482,0.6918819188191881,-0.04949380873466003
80-90%,219,0.8384980320834028,0.817351598173516,-0.021146433909886797
90-100%,3,0.9161011606526687,0.6666666666666666,-0.24943449398600204
